Parameter,Type,Min,Max,Default,Description,Example
Demographics_Filenames,array of strings,NA,NA,[],An array of the paths to demographics files containing information on the identity and demographics of the region to simulate. The files must be in .json format. Note that this parameter is only required when **Enable_Demographics_Builtin** is set to 0.,[link](../json/config-population-malaria-demographics-filenames.json)
Enable_Aging,boolean,0,1,1,Controls whether or not individuals in a population age during the simulation. **Enable_Vital_Dynamics** must be set to true (1). ,[link](../json/config-population-malaria-enable-aging.json)
Enable_Birth,boolean,0,1,1,"Controls whether or not individuals will be added to the simulation by birth. **Enable_Vital_Dynamics** must be set to true (1). If you want new individuals to have the same intervention coverage as existing individuals, you must add a **BirthTriggeredIV** to the campaign file. ",[link](../json/config-population-malaria-enable-birth.json)
Enable_Demographics_Builtin,boolean,0,1,0,Controls whether or not built-in demographics for default geography will be used. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. Set to true (1) to define the initial population and number of nodes using **Default_Geography_Initial_Node_Population** and **Default_Geography_Torus_Size**. Set to false (0) to use demographics input files defined in **Demographics_Filenames**.,[link](../json/config-population-malaria-enable-demographics-builtin.json)
Enable_Demographics_Gender,boolean,0,1,1,"Controls whether or not gender ratios are drawn from a Gaussian distribution or a 50/50 draw. When set to 1 (true), the ratio of males to females is drawn from a Gaussian distribution with a mean of 0.5 and a standard deviation of 0.01. When set to 0 (false), the gender ratio is based on a 50/50 draw.",[link](../json/config-population-malaria-enable-demographics-gender.json)
Enable_Demographics_Other,boolean,0,1,0,"Controls whether or not other demographic factors are included in the simulation, such as the fraction of individuals above poverty, urban/rural characteristics, heterogeneous initial immunity, or risk. These factors are set in the demographics file.",[link](../json/config-population-malaria-enable-demographics-other.json)
Enable_Demographics_Risk,boolean,0,1,0,Controls whether or not the simulation includes the impact of disease risk in demographics.,[link](../json/config-population-malaria-enable-demographics-risk.json)
Enable_Vital_Dynamics,boolean,0,1,1,Controls whether or not births and deaths occur in the simulation. Births and deaths must be individually enabled and set. ,[link](../json/config-population-malaria-enable-vital-dynamics.json)
Minimum_Adult_Age_Years,float,0,3.40E+38,15,"The age, in years, after which an individual is considered an adult. **Individual_Sampling_Type** must be set to ADAPTED_SAMPLING_BY_AGE_GROUP.",[link](../json/config-population-malaria-minimum-adult-age-years.json)
Population_Density_Infectivity_Correction,enum,NA,NA,CONSTANT_INFECTIVITY,"Correction to alter infectivity by population density set in the **Population_Density_C50** parameter. Measured in people per square kilometer. 
Possible values are:
* CONSTANT_INFECTIVITY
* SATURATING_FUNCTION_OF_DENSITY
!!! note
    Sparsely populated areas have a lower infectivity, while densely populated areas have a higher infectivity, which rises to saturate at the **Base_Infectivity** value.",[link](../json/config-population-malaria-population-density-infectivity-correction.json)
Population_Scale_Type,enum,NA,NA,USE_INPUT_FILE,"The method to use for scaling the initial population specified in the demographics input file.
Possible values are:
USE_INPUT_FILE
    Turns off population scaling and uses **InitialPopulation** in the demographics file (see [NodeAttributes](parameter-demographics.md#nodeattributes) parameters).  
FIXED_SCALING
    Enables **Base_Population_Scale_Factor**.",[link](../json/config-population-malaria-population-scale-type.json)
x_Base_Population,float,0,3.40E+38,1,"Scale factor for **InitialPopulation** in the demographics file (see [NodeAttributes](parameter-demographics.md#nodeattributes) parameters). If **Population_Scale_Type** is set to FIXED_SCALING, the initial simulation population is uniformly scaled over the entire area to adjust for historical or future population density.",[link](../json/config-population-malaria-x-base-population.json)
x_Birth,float,0,3.40E+38,1,"Scale factor for birth rate, as provided by the demographics file (see [NodeAttributes](parameter-demographics.md#nodeattributes) parameters). **Enable_Birth** must be set to 1.",[link](../json/config-population-malaria-x-birth.json)
