Parameter,Type,Min,Max,Default,Description
Node_Property_Restrictions,array of json objects,NA,NA,[],"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that the node in which the individual is currently located must have in order to be targeted. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. You can specify AND and OR combinations of key:value pairs with this parameter. See [example](../json/common-node-property-restrictions.json). Located within **Incidence_Counter**."
Percentage_Events_To_Count,array of strings,NA,NA,[],"When **Threshold_Type** is set to PERCENTAGE_EVENTS, this lists the events counted for the denominator. The numerator comes from the events in **Trigger_Condition_List**. The event types must match the **Counter_Event_Type** of the counter. See [example](../json/campaign-surveillanceeventcoordinator-percentage-events-to-count.json). Located within **Responder**."
Property_Restrictions,array of strings,NA,NA,[],"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be counted. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same counter. See [example](../json/common-property-restrictions.json). Located within **Incidence_Counter**."
Property_Restrictions_Within_Node,array of json objects,NA,NA,[],"A list of JSON objects where each object has Individual Property (IP) Keys as JSON keys and IP Values as JSON values (like 'Risk' : 'HIGH'). The values in the object are AND'd together while the objects are OR'd together. An individual's IP values must meet the logic in order to be counted. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. See [example](../json/common-property-restrictions-within-node.json). Located within **Incidence_Counter**."
Responded_Event,string,NA,NA,"""""","A coordinator event, defined in **Custom_Coordinator_Events**, that is broadcast if the **Responder** takes an action. At the completion of a counting period, if an action is selected, the action events are broadcast first and then the **Responded_Event** is also broadcast. This allows other event coordinators to react to the action events being broadcast. Located within **Responder**."
Responder,json object,NA,NA,NA,"A JSON object specifying the actions to take when a counting period completes. Uses the ResponderSurveillance type which adds **Responded_Event** and **Percentage_Events_To_Count** to the base Responder. Contains: **Threshold_Type**, **Action_List** (with **Threshold**, **Event_To_Broadcast**, **Event_Type**), **Responded_Event**, **Percentage_Events_To_Count**. See [example](../json/campaign-surveillanceeventcoordinator-responder.json)."
Start_Trigger_Condition_List,array of strings,NA,NA,[],"A list of coordinator events that when one is heard will start the **Incidence_Counter** counting events. The coordinator will keep counting and responding until it receives a stop event from **Stop_Trigger_Condition_List** or the **Duration** expires. The list cannot be empty. The events must be defined in **Custom_Coordinator_Events** in the simulation configuration. See [example](../json/campaign-surveillanceeventcoordinator-start-trigger-condition-list.json)."
Stop_Trigger_Condition_List,array of strings,NA,NA,[],"A list of coordinator events that when one is heard will stop the **Incidence_Counter** from counting events. The coordinator can start counting again if it receives a new start trigger event. The coordinator does not expire until the **Duration** has elapsed. The list can be empty. The events must be defined in **Custom_Coordinator_Events** in the simulation configuration. See [example](../json/campaign-surveillanceeventcoordinator-stop-trigger-condition-list.json)."
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,"The age, in years, of an individual being considered must be less than or equal to this value in order to be counted. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender. Located within **Incidence_Counter**."
Target_Age_Min,float,0,9.3228e+35,0,"The age, in years, of an individual being considered must be greater than or equal to this value in order to be counted. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender. Located within **Incidence_Counter**."
Target_Demographic,enum,NA,NA,Everyone,"The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState<br>Located within **Incidence_Counter**."
Target_Gender,enum,NA,NA,All,"Specifies the gender restriction for counting. Possible values are:<br>* All<br>* Male<br>* Female<br>Located within **Incidence_Counter**."
Target_Residents_Only,boolean,0,1,0,"When set to true (1), only events from individuals that currently reside in their 'home' node will be counted. The 'home' node is either the one they began the simulation in or the one set by the **MigrateIndividuals** or **MigrateFamily** interventions. Located within **Incidence_Counter**."
Targeting_Config,json object,NA,NA,NA,"Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md). See [example](../json/common-targeting-config.json). Located within **Incidence_Counter**."
Threshold,float,0,3.40282e+38,0,"The COUNT, PERCENTAGE, or PERCENTAGE_EVENTS threshold value (as configured with **Threshold_Type**) that must be met before the action will be considered. The incidence value must be greater than or equal to this value and less than the next higher threshold in order for this action to be selected. Once selected, it broadcasts the **Event_To_Broadcast** event. Located within each object in **Action_List**."
Threshold_Type,enum,NA,NA,COUNT,"The threshold type indicates how **Responder** handles the counting of events from **Incidence_Counter** and the thresholds in **Action_List**. Possible values are:<br>* COUNT -- A raw count of events. Setting the **x_Base_Population** configuration parameter can indirectly affect the count by changing the population.<br>* PERCENTAGE -- Counts the number of individuals that meet the restrictions and divides the total number of events by this number. Note that it is possible for an individual to emit an event that might not be counted in the denominator if their demographic restriction attributes changed between the time of the emitted event and the time the denominator was counted.<br>* PERCENTAGE_EVENTS -- **Percentage_Events_To_Count** lists the events counted for the denominator, which is then used with **Trigger_Condition_List** for the numerator.<br>Located within **Responder**."
Trigger_Condition_List,array of strings,NA,NA,[],"The list of events to count. The list cannot be empty. The type of events in the list is determined by **Counter_Event_Type**. Depending on the type, events must be built-in (see [Event list](parameter-campaign-event-list.md)) or defined in one of the following configuration parameters: **Custom_Individual_Events**, **Custom_Node_Events**, or **Custom_Coordinator_Events**. See [example](../json/campaign-surveillanceeventcoordinator-trigger-condition-list.json). Located within **Incidence_Counter**."
