Parameter,Type,Min,Max,Default,Description,Example
Family_Migration_Roundtrip_Duration,float,0,10000,1,The number of days to complete the trip and return to the original node. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-family-migration-roundtrip-duration.json)
Local_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration to adjacent nodes by foot travel. See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-migration-malaria-local-migration-filename.json)
Local_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent (in days) at the destination node during a round-trip migration by foot travel. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-local-migration-roundtrip-duration.json)
Local_Migration_Roundtrip_Probability,float,0,1,0.95,The likelihood that an individual who walks into a neighboring node will return to the node of origin during the next migration. Only used when **Enable_Local_Migration** is set to true (1).,[link](../json/config-migration-malaria-local-migration-roundtrip-probability.json)
Migration_Model,enum,NA,NA,NO_MIGRATION,"Model to use for migration. Possible values are: <br>NO_MIGRATION<br>   Migration into and out of nodes will not occur.<br>FIXED_RATE_MIGRATION<br>   Migration into and out of nodes will occur at a fixed rate as defined in the migration files. At the beginning of the simulation or whenever an individual has just moved, they pick their next destination and the time and type of the migration. If an individual is on an outbound leg of their journey, they will query the node's **MigrationInfo** object and, through probability, pick a new destination; if the individual is inbound, they will travel back to their previous location.",[link](../json/config-migration-malaria-migration-model.json)
Migration_Pattern,enum,NA,NA,RANDOM_WALK_DIFFUSION,"Describes the pattern of travel used during migration. **Migration_Model** must be set to FIXED_RATE_MIGRATION.<br>Possible values are: <br>RANDOM_WALK_DIFFUSION<br>    Individuals retain no memory of where they came from; every move is to a new destination with no thought of returning home.<br>SINGLE_ROUND_TRIPS<br>   Individuals have a probability (determined **Local_Migration_Roundtrip_Probability**, **Air_Migration_Roundtrip_Probability**, etc.) that they will return to their original location after some duration of time. If they do not, the current location is the new departure point for migration, but their original location remains their home node.<br>WAYPOINTS_HOME <br>    Individuals go on a multi-step journey along several waypoints and then retrace their steps back along their path once they have reached a maximum number of waypoints from their home node. For example, the path of travel would be 1 -> 2 -> 3 -> 4 -> 3 -> 2 -> 1 if their home is node 1. On the outbound journey, the duration at each waypoint is not set explicitly but is determined by each node's migration rate; on the return journey, one timestep is spent at each waypoint. ",[link](../json/config-migration-malaria-migration-pattern.json)
Regional_Migration_Filename,string,NA,NA,"""""","The path of the input file which defines patterns of migration by vehicle via road or rail network. If the node is not on a road or rail network, regional migration focuses on the closest hub city in the network. The file must be in .bin format. See [Migration files](software-migration.md) for information on migration files.",[link](../json/config-migration-malaria-regional-migration-filename.json)
Regional_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent (in days) at the destination node during a round-trip migration by road network. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-regional-migration-roundtrip-duration.json)
Regional_Migration_Roundtrip_Probability,float,0,1,0.1,The likelihood that an individual who travels by vehicle to another node will return to the node of origin during the next migration. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-regional-migration-roundtrip-probability.json)
Roundtrip_Waypoints,integer,0,1000,10,The maximum number of points reached during a trip before steps are retraced on the return trip home. **Migration_Pattern** must be set to WAYPOINTS_HOME.,[link](../json/config-migration-malaria-roundtrip-waypoints.json)
Sea_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration by ship. Only used when **Enable_Sea_Migration** is set to true (1). The file must be in .bin format. See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-migration-malaria-sea-migration-filename.json)
Sea_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent at the destination node during a round-trip migration by ship. Used only when **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-sea-migration-roundtrip-duration.json)
Sea_Migration_Roundtrip_Probability,float,0,1,0.25,The likelihood that an individual who travels by ship into a neighboring node will return to the node of origin during the next migration. Used only when **Enable_Sea_Migration** is set to true (1).,[link](../json/config-migration-malaria-sea-migration-roundtrip-probability.json)
Vector_Migration_Filename,string,NA,NA,,The path to the vector migration file which defines patterns of vector migration to other nodes. The file must be in .bin format.,[link](../json/config-migration-malaria-vector-migration-filename.json)

Vector_Migration_Food_Modifier,float,0,3.40E+38,0,"The preference of a female vector to migrate toward a node currently occupied by humans, independent of the number of humans in the node. Only affects female vector migration. **Vector_Migration_Filename** must be defined. ",[link](../json/config-migration-malaria-vector-migration-food-modifier.json)
Vector_Migration_Habitat_Modifier,float,0,3.40E+38,0,The preference of a female vector to migrate toward a node with more habitat. Only affects female vector migration. **Vector_Migration_Filename** must be defined. ,[link](../json/config-migration-malaria-vector-migration-habitat-modifier.json)
Vector_Migration_Modifier_Equation,enum,NA,NA,LINEAR,The functional form of female vector migration modifiers. **Vector_Migration_Filename** must be defined.<br>Possible values are: <br>LINEAR <br>EXPONENTIAL,[link](../json/config-migration-malaria-vector-migration-modifier-equation.json)
Vector_Migration_Stay_Put_Modifier,float,0,3.40E+38,0,The preference of a female vector to remain in its current node rather than migrate to another node.  Only affects female vector migration. **Vector_Migration_Filename** must be defined. ,[link](../json/config-migration-malaria-vector-migration-stay-put-modifier.json)
x_Air_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by air, as provided by the migration file. **Enable_Air_Migration** must be set to 1.",[link](../json/config-migration-malaria-x-air-migration.json)
x_Family_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by families, as provided by the migration file. **Enable_Family_Migration** must be set to true (1).",[link](../json/config-migration-malaria-x-family-migration.json)
x_Local_Migration,float,0,3.40E+38,1,"Scale factor for rate of migration by foot travel, as provided by the migration file. **Enable_Local_Migration** must be set to 1.",[link](../json/config-migration-malaria-x-local-migration.json)
x_Regional_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by road vehicle, as provided by the migration file. **Enable_Regional_Migration** must be set to 1.",[link](../json/config-migration-malaria-x-regional-migration.json)
x_Sea_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by sea, as provided by the migration file. **Enable_Sea_Migration** must be set to 1.",[link](../json/config-migration-malaria-x-sea-migration.json)
x_Vector_Migration,float,0,3.40E+38,1,"Scale factor for the rate of vector migration to other nodes, as provided by the vector migration file. **Vector_Migration_Filename** must be defined. ",[link](../json/config-migration-malaria-x-vector-migration.json)

